id_file;pedido;id_agencia;agencia;id_client_file;id_estado;estado;proceso;proceso_habilitado;motivo;id_cliente_sugerido;nombre_cliente_sugerido;fuente_sugerencia;nota_nd
17426;35877;1;HONDA GALERIAS;14221;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17427;35877;1;HONDA GALERIAS;14221;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17428;35877;1;HONDA GALERIAS;14221;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17429;35877;1;HONDA GALERIAS;14221;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17430;35877;1;HONDA GALERIAS;14221;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17474;35877;1;HONDA GALERIAS;14221;1;Integración;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17300;35893;1;HONDA GALERIAS;14033;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
9697;19606;2;HONDA GONZALEZ GALLO;7969;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
10819;19967;2;HONDA GONZALEZ GALLO;7969;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
13016;20513;2;HONDA GONZALEZ GALLO;10507;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
14309;20663;2;HONDA GONZALEZ GALLO;11487;4;Liberado;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
14356;20779;2;HONDA GONZALEZ GALLO;11523;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
14356;20779;2;HONDA GONZALEZ GALLO;11523;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
14355;20787;2;HONDA GONZALEZ GALLO;11523;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
14355;20787;2;HONDA GONZALEZ GALLO;11523;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16336;35575;3;ACURA GUADALAJARA;13199;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16344;35685;3;ACURA GUADALAJARA;13208;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
17298;35893;3;ACURA GUADALAJARA;14033;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
5025;4744;3;ACURA GUADALAJARA;3881;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
309;5829;3;ACURA GUADALAJARA;232;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
348;5840;3;ACURA GUADALAJARA;262;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
371;5841;3;ACURA GUADALAJARA;282;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
857;5899;3;ACURA GUADALAJARA;691;4;Liberado;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1821;6138;3;ACURA GUADALAJARA;254;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
9992;7007;3;ACURA GUADALAJARA;5696;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15444;7028;3;ACURA GUADALAJARA;12374;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16621;7121;3;ACURA GUADALAJARA;13456;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15447;7122;3;ACURA GUADALAJARA;12377;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
11715;7161;3;ACURA GUADALAJARA;4219;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16556;7305;3;ACURA GUADALAJARA;12355;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16559;7322;3;ACURA GUADALAJARA;12374;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15239;7328;3;ACURA GUADALAJARA;12198;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16575;7332;3;ACURA GUADALAJARA;13401;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
17266;7338;3;ACURA GUADALAJARA;4219;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15446;7348;3;ACURA GUADALAJARA;12376;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16722;7351;3;ACURA GUADALAJARA;1945;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1736;10001;4;AUDI CENTER GALERIAS;1176;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1432;10010;4;AUDI CENTER GALERIAS;1176;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1531;10035;4;AUDI CENTER GALERIAS;4201;1;Integración;AUTOS NUEVOS;1;Sin HeaderClient para ese Client.Id;;;sin_sugerencia;
1753;10136;4;AUDI CENTER GALERIAS;1417;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1654;10219;4;AUDI CENTER GALERIAS;1342;1;Integración;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1872;10257;4;AUDI CENTER GALERIAS;1524;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1831;10354;4;AUDI CENTER GALERIAS;1486;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1997;10412;4;AUDI CENTER GALERIAS;1623;1;Integración;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1888;10428;4;AUDI CENTER GALERIAS;783;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2508;10641;4;AUDI CENTER GALERIAS;2098;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3466;10669;4;AUDI CENTER GALERIAS;2906;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3768;11053;4;AUDI CENTER GALERIAS;3178;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3234;11239;4;AUDI CENTER GALERIAS;2719;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3437;11322;4;AUDI CENTER GALERIAS;2885;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2667;11332;4;AUDI CENTER GALERIAS;2226;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4147;11364;4;AUDI CENTER GALERIAS;3515;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2836;11371;4;AUDI CENTER GALERIAS;2377;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
2795;11380;4;AUDI CENTER GALERIAS;2333;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
